,X Value,Y Value,Pressure,Timestamp
0,369,848,0.4921875,2023-02-23T13:04:21
1,373,827,0.560546875,2023-02-23T13:04:21
2,381,805,0.583984375,2023-02-23T13:04:21
3,394,783,0.5947265625,2023-02-23T13:04:21
4,414,758,0.5966796875,2023-02-23T13:04:21
5,440,732,0.5986328125,2023-02-23T13:04:21
6,471,705,0.5986328125,2023-02-23T13:04:21
7,508,678,0.5947265625,2023-02-23T13:04:21
8,550,651,0.59375,2023-02-23T13:04:21
9,596,626,0.59375,2023-02-23T13:04:21
10,647,601,0.5966796875,2023-02-23T13:04:21
11,701,579,0.60546875,2023-02-23T13:04:21
12,758,561,0.6220703125,2023-02-23T13:04:21
13,816,546,0.6474609375,2023-02-23T13:04:21
14,876,536,0.66796875,2023-02-23T13:04:21
15,935,530,0.689453125,2023-02-23T13:04:21
16,991,529,0.7041015625,2023-02-23T13:04:21
17,1043,533,0.71484375,2023-02-23T13:04:21
18,1088,543,0.7216796875,2023-02-23T13:04:21
19,1126,560,0.724609375,2023-02-23T13:04:21
20,1156,584,0.7265625,2023-02-23T13:04:21
21,1176,614,0.7275390625,2023-02-23T13:04:21
22,1188,651,0.73828125,2023-02-23T13:04:21
23,1192,695,0.763671875,2023-02-23T13:04:21
24,1189,746,0.7919921875,2023-02-23T13:04:21
25,1176,803,0.8232421875,2023-02-23T13:04:21
26,1155,866,0.84765625,2023-02-23T13:04:21
27,1128,935,0.8642578125,2023-02-23T13:04:21
28,1096,1006,0.8779296875,2023-02-23T13:04:21
29,1062,1080,0.88671875,2023-02-23T13:04:21
30,1028,1153,0.8916015625,2023-02-23T13:04:21
31,997,1224,0.8994140625,2023-02-23T13:04:21
32,970,1293,0.8994140625,2023-02-23T13:04:21
33,950,1356,0.90234375,2023-02-23T13:04:21
34,938,1413,0.908203125,2023-02-23T13:04:21
35,934,1461,0.916015625,2023-02-23T13:04:21
36,937,1501,0.916015625,2023-02-23T13:04:21
37,949,1533,0.916015625,2023-02-23T13:04:21
38,969,1557,0.9140625,2023-02-23T13:04:21
39,995,1574,0.90625,2023-02-23T13:04:21
40,1028,1583,0.892578125,2023-02-23T13:04:21
41,1067,1584,0.8818359375,2023-02-23T13:04:21
42,1113,1577,0.873046875,2023-02-23T13:04:21
43,1165,1560,0.8701171875,2023-02-23T13:04:21
44,1223,1533,0.8701171875,2023-02-23T13:04:21
45,1287,1499,0.8701171875,2023-02-23T13:04:21
46,1355,1457,0.87109375,2023-02-23T13:04:21
47,1423,1410,0.87890625,2023-02-23T13:04:21
48,1492,1360,0.8916015625,2023-02-23T13:04:21
49,1556,1309,0.8916015625,2023-02-23T13:04:21
50,1613,1260,0.8916015625,2023-02-23T13:04:21
51,1662,1215,0.8857421875,2023-02-23T13:04:21
52,1699,1177,0.8642578125,2023-02-23T13:04:21
53,1724,1144,0.841796875,2023-02-23T13:04:21
54,1736,1118,0.8193359375,2023-02-23T13:04:21
55,1736,1099,0.8076171875,2023-02-23T13:04:21
56,1724,1084,0.8076171875,2023-02-23T13:04:21
57,1699,1073,0.810546875,2023-02-23T13:04:21
58,1664,1064,0.8251953125,2023-02-23T13:04:21
59,1618,1057,0.8427734375,2023-02-23T13:04:21
60,1565,1053,0.8564453125,2023-02-23T13:04:21
61,1507,1048,0.8662109375,2023-02-23T13:04:21
62,1445,1042,0.8662109375,2023-02-23T13:04:21
63,1383,1033,0.869140625,2023-02-23T13:04:21
64,1325,1019,0.869140625,2023-02-23T13:04:21
65,1273,1002,0.8720703125,2023-02-23T13:04:21
66,1230,980,0.876953125,2023-02-23T13:04:21
67,1198,952,0.8837890625,2023-02-23T13:04:21
68,1179,918,0.892578125,2023-02-23T13:04:21
69,1170,878,0.89453125,2023-02-23T13:04:22
70,1173,832,0.89453125,2023-02-23T13:04:22
71,1189,781,0.8935546875,2023-02-23T13:04:22
72,1217,727,0.8935546875,2023-02-23T13:04:22
73,1258,671,0.8876953125,2023-02-23T13:04:22
74,1311,614,0.880859375,2023-02-23T13:04:22
75,1373,558,0.8671875,2023-02-23T13:04:22
76,1444,505,0.8515625,2023-02-23T13:04:22
77,1520,457,0.8203125,2023-02-23T13:04:22
78,1598,414,0.7685546875,2023-02-23T13:04:22
79,1679,379,0.6953125,2023-02-23T13:04:22
80,1757,351,0.62890625,2023-02-23T13:04:22
81,1832,331,0.576171875,2023-02-23T13:04:22
82,1902,318,0.55078125,2023-02-23T13:04:22
83,1967,314,0.546875,2023-02-23T13:04:22
84,2026,315,0.5458984375,2023-02-23T13:04:22
85,2081,324,0.546875,2023-02-23T13:04:22
86,2131,337,0.5458984375,2023-02-23T13:04:22
87,2176,356,0.5458984375,2023-02-23T13:04:22
88,2216,378,0.50390625,2023-02-23T13:04:22
89,2245,396,0.40625,2023-02-23T13:04:22
90,2265,412,0.244140625,2023-02-23T13:04:22
91,2371,538,0.263671875,2023-02-23T13:04:22
92,2385,557,0.3564453125,2023-02-23T13:04:22
93,2398,572,0.4423828125,2023-02-23T13:04:22
94,2412,585,0.5087890625,2023-02-23T13:04:22
95,2430,597,0.5615234375,2023-02-23T13:04:22
96,2451,610,0.599609375,2023-02-23T13:04:22
97,2475,623,0.62890625,2023-02-23T13:04:22
98,2500,636,0.6494140625,2023-02-23T13:04:22
99,2524,649,0.66015625,2023-02-23T13:04:22
100,2545,662,0.6611328125,2023-02-23T13:04:22
101,2560,676,0.6630859375,2023-02-23T13:04:22
102,2568,693,0.6650390625,2023-02-23T13:04:22
103,2569,712,0.6650390625,2023-02-23T13:04:22
104,2562,735,0.6650390625,2023-02-23T13:04:22
105,2544,762,0.6728515625,2023-02-23T13:04:22
106,2516,795,0.708984375,2023-02-23T13:04:22
107,2480,832,0.7509765625,2023-02-23T13:04:22
108,2434,875,0.7890625,2023-02-23T13:04:22
109,2384,921,0.8193359375,2023-02-23T13:04:22
110,2331,969,0.8291015625,2023-02-23T13:04:22
111,2278,1019,0.83203125,2023-02-23T13:04:22
112,2227,1068,0.837890625,2023-02-23T13:04:22
113,2180,1116,0.837890625,2023-02-23T13:04:22
114,2139,1164,0.837890625,2023-02-23T13:04:22
115,2104,1209,0.837890625,2023-02-23T13:04:22
116,2075,1254,0.8369140625,2023-02-23T13:04:22
117,2052,1297,0.8359375,2023-02-23T13:04:22
118,2035,1337,0.8330078125,2023-02-23T13:04:22
119,2024,1375,0.82421875,2023-02-23T13:04:22
120,2018,1408,0.810546875,2023-02-23T13:04:22
121,2018,1438,0.787109375,2023-02-23T13:04:22
122,2022,1463,0.7587890625,2023-02-23T13:04:22
123,2034,1484,0.7314453125,2023-02-23T13:04:22
124,2053,1501,0.708984375,2023-02-23T13:04:22
125,2080,1512,0.693359375,2023-02-23T13:04:22
126,2114,1519,0.689453125,2023-02-23T13:04:22
127,2156,1522,0.689453125,2023-02-23T13:04:22
128,2204,1522,0.69140625,2023-02-23T13:04:22
129,2258,1520,0.7080078125,2023-02-23T13:04:22
130,2316,1513,0.7353515625,2023-02-23T13:04:22
131,2378,1504,0.751953125,2023-02-23T13:04:22
132,2442,1492,0.7705078125,2023-02-23T13:04:22
133,2508,1477,0.7890625,2023-02-23T13:04:22
134,2574,1460,0.8017578125,2023-02-23T13:04:22
135,2640,1439,0.8115234375,2023-02-23T13:04:22
136,2704,1417,0.82421875,2023-02-23T13:04:22
137,2763,1393,0.82421875,2023-02-23T13:04:22
138,2816,1368,0.82421875,2023-02-23T13:04:22
139,2864,1342,0.8212890625,2023-02-23T13:04:22
140,2905,1315,0.8076171875,2023-02-23T13:04:22
141,2936,1288,0.796875,2023-02-23T13:04:22
142,2959,1260,0.7734375,2023-02-23T13:04:22
143,2972,1232,0.748046875,2023-02-23T13:04:22
144,2975,1205,0.71875,2023-02-23T13:04:22
145,2969,1177,0.6943359375,2023-02-23T13:04:22
146,2953,1150,0.6728515625,2023-02-23T13:04:22
147,2928,1123,0.6640625,2023-02-23T13:04:22
148,2895,1097,0.6640625,2023-02-23T13:04:22
149,2854,1073,0.6708984375,2023-02-23T13:04:22
150,2808,1050,0.697265625,2023-02-23T13:04:22
151,2756,1028,0.7314453125,2023-02-23T13:04:22
152,2699,1006,0.765625,2023-02-23T13:04:22
153,2639,984,0.798828125,2023-02-23T13:04:22
154,2577,962,0.8212890625,2023-02-23T13:04:22
155,2513,941,0.83984375,2023-02-23T13:04:22
156,2449,921,0.8525390625,2023-02-23T13:04:22
157,2383,902,0.857421875,2023-02-23T13:04:22
158,2315,887,0.8662109375,2023-02-23T13:04:22
159,2244,875,0.8720703125,2023-02-23T13:04:22
160,2171,868,0.8779296875,2023-02-23T13:04:22
161,2093,865,0.8779296875,2023-02-23T13:04:22
162,2012,866,0.8779296875,2023-02-23T13:04:22
163,1928,872,0.8818359375,2023-02-23T13:04:22
164,1843,880,0.8818359375,2023-02-23T13:04:22
165,1759,890,0.8857421875,2023-02-23T13:04:22
166,1678,900,0.8857421875,2023-02-23T13:04:22
167,1603,907,0.8857421875,2023-02-23T13:04:22
168,1536,911,0.880859375,2023-02-23T13:04:22
169,1479,911,0.8779296875,2023-02-23T13:04:22
170,1432,905,0.875,2023-02-23T13:04:22
171,1394,896,0.8740234375,2023-02-23T13:04:22
172,1366,885,0.87109375,2023-02-23T13:04:22
173,1348,873,0.8681640625,2023-02-23T13:04:22
174,1336,860,0.8662109375,2023-02-23T13:04:22
175,1333,845,0.861328125,2023-02-23T13:04:22
176,1336,829,0.857421875,2023-02-23T13:04:22
177,1349,811,0.85546875,2023-02-23T13:04:22
178,1372,790,0.85546875,2023-02-23T13:04:22
179,1406,768,0.85546875,2023-02-23T13:04:22
180,1452,744,0.8544921875,2023-02-23T13:04:22
181,1510,718,0.8525390625,2023-02-23T13:04:22
182,1582,690,0.8525390625,2023-02-23T13:04:22
183,1665,661,0.8564453125,2023-02-23T13:04:22
184,1759,634,0.8583984375,2023-02-23T13:04:22
185,1862,609,0.8603515625,2023-02-23T13:04:22
186,1970,589,0.861328125,2023-02-23T13:04:22
187,2082,575,0.865234375,2023-02-23T13:04:22
188,2196,566,0.8681640625,2023-02-23T13:04:22
189,2309,564,0.8720703125,2023-02-23T13:04:22
190,2419,567,0.8818359375,2023-02-23T13:04:22
191,2526,578,0.8876953125,2023-02-23T13:04:22
192,2630,595,0.8994140625,2023-02-23T13:04:22
193,2730,616,0.9111328125,2023-02-23T13:04:22
194,2827,643,0.921875,2023-02-23T13:04:22
195,2921,673,0.9296875,2023-02-23T13:04:22
196,3014,706,0.9326171875,2023-02-23T13:04:22
197,3110,738,0.9404296875,2023-02-23T13:04:22
198,3212,768,0.94921875,2023-02-23T13:04:23
199,3323,790,0.9521484375,2023-02-23T13:04:23
200,3447,804,0.9609375,2023-02-23T13:04:23
201,3583,806,0.966796875,2023-02-23T13:04:23
202,3691,805,0.966796875,2023-02-23T13:04:23
